Item Name,Item Variation,count
GLAZED BABY BACK PORK RIBS,Full Rack,268
GRILLED SWEET CORN,Regular,260
STEAK SANDWICH COMBO,Regular,224
BEEF BACK RIBS (Full Rack),Regular,197
BELLY BITES,4 Bites,175
GLAZED BABY BACK PORK RIBS,Half rack,134
ARTISAN MAC AND CHEESE,Side,130
BAKED BABY POTATOES,Regular,125
CRINKLE FRIES,Side,116
BABY BACK RIB COMBO,Regular,107
LOADED FRIES,Regular,98
ARTISAN MAC AND CHEESE,Full,98
CHICKEN WINGS,6 pcs,96
CLASSY RANCH DIP,Regular,94
PEAR GORGONZOLA SALAD,Regular,80
CRINKLE FRIES,Full,71
MOZZARELLA STICKS,3 pcs,71
BOOM-BOOM SAUCE,Regular,65
BEEF SHORT RIB,Regular,65
CHICKEN WINGS,8 pcs,65
CIABATTA STEAK SANDWICH,Regular,64
CRISPY CHICKEN SANDWICH,Regular,64
SIGNATURE BBQ DIP,Regular,63
CRISPY CHICKEN COMBO,Regular,62
PINEAPPLE SLAW,Side,61
CHICKEN WINGS,12 pcs,59
PINEAPPLE SLAW,Full,47
SWEET AND SPICY BBQ DIP,Regular,46
COCA-COLA™,Regular,45
STEAK SANDWICH,Regular,45
MOZZARELLA STICKS,6 pcs,37
THE BELLY COMBO,Regular,36
DR. PEPPER ™,Regular,35
PORK RACK COMBO,Regular,34
3-BONE MEAL DEAL,Regular,33
CRISPY  FRIES,Side,31
Beef Short Rib,Regular,29
SPRITE™,Regular,29
RIBS & WINGS BUNDLE,Regular,29
CREAMY BLUE CHEESE DIP,Regular,29
BELLY SLIDERS,2 sliders,27
Party Package (4-6 ppl),Regular,26
BEEF RACK COMBO,Regular,23
DIET COKE ™,Regular,21
MAC&CHEESE,Side,19
CHUNKY BLUE CHEESE DIP,Regular,19
SHORT RIB PLATTER,Regular,19
BABY BACK PORK RIBS,Full Rack,18
MAC&CHEESE,Full,16
BABY BACK PORK RIBS,Half rack,16
KETCHUP,Regular,16
BELLY SLIDERS,4 sliders,14
PURE LEAF™ unsweetened iced tea,Regular,14
MOZZARELLA STICKS,9 pcs,14
DINO DINNER,Regular,13
GET YOUR BABY BACK!,Full Rack,13
GET YOUR BABY BACK!,Half rack,12
CRISPY  FRIES,Full,12
DR. PEPPER,Regular,12
PICKLED JALAPEÑO PEPPERS,Regular,10
SIGNATURE BBQ SAUCE,Regular,10
BELLY BITES,2 Bites,10
Party Package (6-8 ppl),Regular,9
WINGS & FRIES,Regular,9
PULLED SANDWICH COMBO,Regular,8
CRINKLE FRIES,"Side, Rosemary pepper",8
FRIED CHICKEN WINGS,8 pcs,8
PULLED BEEF SANDWICH,Regular,8
FRIED CHICKEN WINGS,12 pcs,7
CHEESECAKE BITES,Regular,7
BABYBACK RIB COMBO,Regular,7
Sweet’n’Spicy BBQ Sauce (8 oz),Regular,7
BELLY BITES,8 Bites,7
SWEET AND SPICY BBQ SAUCE,Regular,7
Signature BBQ Sauce (8 oz),Regular,7
CRINKLE FRIES,"Full, Truffle salt",6
1/2 POUND STEAK SANDWICH,Regular,6
CRINKLE FRIES,"Side, Truffle salt",6
FRIED CHICKEN WINGS,6 pcs,6
BELLY BITES,6 Bites,6
THE BABY BACK COMBO,Regular,6
BBQ RIB COMBO,Regular,6
MOZZARELLA WEDGES,3 pcs,5
WINGS COMBO,Regular,5
Party Package (10-12 ppl),Regular,5
MAYONNAISE,Regular,5
MARSH’n’COOKIE,Regular,5
PORK BELLY BITES,Regular,5
CRINKLE FRIES,"Full, Rosemary pepper",5
MUSTARD,Regular,4
HOUSE-MADE CURRY DIP,Regular,4
LOADED FRIES,Truffle Salt,4
SLOW-COOKED ASPARAGUS,Regular,3
Ranch (8 oz),Regular,3
TANGY & SWEET CURRY DIP,Regular,3
CHIABATTA STEAK SANDWICH,Regular,3
Mac’n’Cheese Family size,Half Pan,3
BOTTLED WATER,Regular,3
Classy Ranch Sauce (8 oz),Regular,3
BELLY SLIDERS,6 sliders,3
Artisan Mac and Cheese,Side,2
BLUE CHEESE SAUCE,Regular,2
BBQ dipping sauce,Regular,2
Mac’n’Cheese Half Pan,Regular,2
ULTIMATE STEAK SANDWICH,Regular,2
MOZZARELLA WEDGES,9 pcs,2
MAC&CHEESE,8 oz.,2
THE BABY BACK PARTY-XL,Regular,2
French fries,"Rosemary, Full",1
French fries,"Rosemary, Side",1
CHOP-CHOP,Regular,1
BEEF SHORT RIBS (FULL RACK),Regular,1
BEEF SANDWICH COMBO,Regular,1
Crispy Chicken Sandwich,Regular,1
BEEF BACK RIBS (FULL RACK),Regular,1
BEEF SHORT RIB (Full Rack),Regular,1
Beef Back Ribs (Full Rack),Regular,1
Beef Back Ribs Substitution,Regular,1
MOZZARELLA WEDGES,6 pcs,1
Party Package  (6-8 ppl),Regular,1
PORK NOODLE SOUP,Regular,1
PARTY PACKAGE (4-6ppl),Regular,1
PINEAPPLE SLAW,8 oz.,1
Local Delivery Service,Regular,1
LOADED FRIES,Rosemary Pepper,1
LOAD YOUR FRIES,Rosemary Pepper,1
Party Package (10-12ppl),Regular,1
RIBS & WINGS BUNDLE !BEEF RIBS ONLY!,Regular,1
Party Package !BEEF RIBS ONLY! (4-6 ppl),Regular,1
Pickled Jalapeños (8oz),Regular,1
Pineapple Coleslaw,4 oz.,1
THE BABY BACK COMBO,"Crinkle Fries- Truffle Salt, Mac&Cheese",1
THE BABY BACK COMBO,Crinkle Fries- Rosemary Pepper,1
THE BABY BACK PARTY- XXXL,Regular,1
“Get your baby back” Pork Ribs,Full Rack,1
